analytic_d,beta,cos_fg,curvature_contribution,curvature_norm,d,field_norm,gamma,grad_norm,merit,method,mu,predicted_decrease,ratio,realized_decrease,sigma,skew_ratio,step,z0,z1
-0.021346390624999996,0.03,1.0000000000000002,0.0,0.14610404041298786,-0.021346390624999993,0.41744011546567966,0.0,0.14610404041298786,0.08712812499999999,QP+G,0.35,0.0018200847492187496,0.0,0.0018200847492187283,0.0,0.0,0,1.0,-0.65
-0.020900469861441402,0.03,1.0,0.0,0.14456994798865153,-0.020900469861441406,0.41305699425329007,0.0,0.14456994798865153,0.08530804025078126,QP+G,0.35,0.0017820636338287572,0.0,0.0017820636338287538,0.0,0.0,1,0.9895,-0.643175
-0.02046386427115336,0.03,1.0,0.0,0.14305196353477068,-0.020463864271153362,0.40871989581363055,0.0,0.14305196353477068,0.0835259766169525,QP+G,0.35,0.0017448367700339835,0.0,0.0017448367700339806,0.0,0.0,2,0.9791102500000001,-0.6364216625000001
-0.020036379262495033,0.03,1.0,0.0,0.1415499179176556,-0.020036379262495033,0.40442833690758745,0.0,0.1415499179176556,0.08178113984691852,QP+G,0.35,0.001708387566117166,0.0,0.0017083875661171727,0.0,0.0,3,0.9688295923750001,-0.6297392350437501
-0.019617824308796324,0.03,0.9999999999999999,0.0,0.1400636437795202,-0.019617824308796328,0.40018183937005775,0.0,0.1400636437795202,0.08007275228080135,QP+G,0.35,0.00167269977695787,0.0,0.0016726997769578589,0.0,0.0,4,0.9586568816550626,-0.6231269730757907
-0.019208012863441648,0.03,1.0000000000000002,0.0,0.13859297551983524,-0.019208012863441648,0.39597993005667215,0.0,0.13859297551983524,0.07840005250384349,QP+G,0.35,0.0016377574967921641,0.0,0.0016377574967921804,0.0,0.0,5,0.9485909843976844,-0.6165841398584949
-0.018806762276727566,0.03,0.9999999999999999,0.0,0.13713774927687697,-0.01880676227672757,0.3918221407910771,0.0,0.13713774927687697,0.07676229500705131,QP+G,0.35,0.00160354515212355,0.0,0.0016035451521235478,0.0,0.0,6,0.9386307790615087,-0.6101100063899807
-0.0184138937144573,0.03,1.0000000000000002,0.0,0.13569780290946976,-0.0184138937144573,0.38770800831277075,0.0,0.13569780290946976,0.07515874985492776,QP+G,0.35,0.001570047494781977,0.0,0.0015700474947819842,0.0,0.0,7,0.9287751558813628,-0.603703851322886
-0.018029232078235712,0.03,1.0,0.0,0.13427297597892032,-0.018029232078235712,0.38363707422548665,0.0,0.13427297597892032,0.07358870236014578,QP+G,0.35,0.001537249595127855,0.0,0.0015372495951278542,0.0,0.0,8,0.9190230167446085,-0.5973649608839956
-0.01765260592742939,0.03,1.0,0.0,0.13286310973114165,-0.017652605927429392,0.37960888494611905,0.0,0.13286310973114165,0.07205145276501793,QP+G,0.35,0.001505136835398033,0.0,0.0015051368353980188,0.0,0.0,9,0.9093732750687902,-0.5910926287947137
-0.017283847402756874,0.03,0.9999999999999999,0.0,0.13146804707896467,-0.017283847402756874,0.37562299165418483,0.0,0.13146804707896467,0.07054631592961991,QP+G,0.35,0.001473694903190777,0.0,0.0014736949031907837,0.0,0.0,10,0.8998248556805679,-0.5848861561923692
-0.016922792151475134,0.03,0.9999999999999999,0.0,0.13008763258463554,-0.016922792151475134,0.3716789502418159,0.0,0.13008763258463554,0.06907262102642912,QP+G,0.35,0.0014429097850868476,0.0,0.001442909785086835,0.0,0.0,11,0.890376694695922,-0.5787448515523493
-0.016569279254128856,0.03,1.0000000000000002,0.0,0.1287217124424969,-0.016569279254128856,0.36777632126427684,0.0,0.1287217124424969,0.06762971124134229,QP+G,0.35,0.00141276776040383,0.0,0.0014127677604038325,0.0,0.0,12,0.8810277394016148,-0.5726680306110496
-0.01622315115282992,0.03,1.0,0.0,0.12737013446185066,-0.01622315115282992,0.36391466989100196,0.0,0.12737013446185066,0.06621694348093846,QP+G,0.35,0.0013832553950809338,0.0,0.00138325539508094,0.0,0.0,13,0.8717769481378979,-0.5666550162896337
-0.01588425358103509,0.03,0.9999999999999999,0.0,0.12603274805000123,-0.01588425358103509,0.3600935658571464,0.0,0.12603274805000123,0.06483368808585752,QP+G,0.35,0.0013543595356915415,0.0,0.001354359535691546,0.0,0.0,14,0.8626232901824499,-0.5607051386185925
-0.015552435494790658,0.03,0.9999999999999997,0.0,0.12470940419547623,-0.015552435494790663,0.35631258341564637,0.0,0.12470940419547623,0.06347932855016597,QP+G,0.35,0.0013260673035808293,0.0,0.0013260673035808343,0.0,0.0,15,0.8535657456355341,-0.5548177346630973
-0.015227549005413354,0.03,1.0,0.0,0.12339995545142371,-0.015227549005413354,0.35257130128978204,0.0,0.12339995545142371,0.062153261246585136,QP+G,0.35,0.0012983660891258515,0.0,0.0012983660891258478,0.0,0.0,16,0.844603305306361,-0.5489921484491347
-0.01490944931357752,0.03,1.0,0.0,0.12210425591918377,-0.014909449313577523,0.34886930262623933,0.0,0.12210425591918377,0.06085489515745929,QP+G,0.35,0.0012712435461155348,0.0,0.0012712435461155608,0.0,0.0,17,0.8357349706006442,-0.5432277308904188
-0.014597994644779212,0.03,1.0,0.0,0.1208221612320323,-0.014597994644779209,0.3452061749486638,0.0,0.1208221612320323,0.05958365161134373,QP+G,0.35,0.0012446875862480674,0.0,0.0012446875862480514,0.0,0.0,18,0.8269597534093374,-0.5375238397160693
-0.014293046186148437,0.03,0.9999999999999998,0.0,0.11955352853909598,-0.014293046186148437,0.34158151011170285,0.0,0.11955352853909598,0.058338964025095676,QP+G,0.35,0.0012186863737432422,0.0,0.0012186863737432344,0.0,0.0,19,0.8182766759985394,-0.5318798393990506
-0.013994468024581342,0.03,1.0,0.0,0.11829821648943549,-0.013994468024581343,0.33799490425552997,0.0,0.11829821648943549,0.05712027765135244,QP+G,0.35,0.0011932283200673393,0.0,0.0011932283200673452,0.0,0.0,20,0.8096847709005547,-0.5262951010853606
-0.013702127086164846,0.03,0.9999999999999998,0.0,0.11705608521629642,-0.013702127086164846,0.3344459577608469,0.0,0.11705608521629642,0.055927049331285096,QP+G,0.35,0.0011683020787682126,0.0,0.001168302078768231,0.0,0.0,21,0.8011830808060989,-0.5207690025239643
-0.013415893076866633,0.03,0.9999999999999998,0.0,0.11582699632152528,-0.01341589307686663,0.330934275204358,0.0,0.11582699632152528,0.054758747252516865,QP+G,0.35,0.0011438965404182643,0.0,0.0011438965404182433,0.0,0.0,22,0.7927706584576348,-0.5153009279974626
-0.013135638424464158,0.03,1.0,0.0,0.11461081286014928,-0.01313563842446416,0.32745946531471226,0.0,0.11461081286014928,0.05361485071209862,QP+G,0.35,0.001120000827663062,0.0,0.001120000827663066,0.0,0.0,23,0.7844465665438297,-0.5098902682534893
-0.012861238221686708,0.03,1.0000000000000002,0.0,0.11340739932511772,-0.01286123822168671,0.32402114092890777,0.0,0.11340739932511772,0.052494849884435556,QP+G,0.35,0.0010966042903733878,0.0,0.001096604290373386,0.0,0.0,24,0.7762098775951195,-0.5045364204368277
