environment,mode,seed,step,rotation,cos_fg,d,beta,gamma,gamma_active,g_contribution,predicted_decrease,realized_decrease,inflation,backtracks,max_soft_residual
RPS,tabular,200,1,35.180743008783146,0.006500673553684052,8.217686942235495,0.03,0.03,1.0,0.6514444026992178,0.24435267990744766,0.2437901447843167,0.0,0,8.978107146617731e-11
RPS,tabular,200,2,31.850631273538117,0.01534052297336391,6.888456508311251,0.03,0.03,1.0,0.6521363195934149,0.204519364331944,0.2040202617691056,0.0,0,8.978251475610932e-11
RPS,tabular,200,3,28.718870548715024,0.022865251449200465,5.716669664168139,0.03,0.03,1.0,0.6529191432211441,0.16942452303575387,0.16901255149691796,0.0,0,8.807321538739643e-11
RPS,tabular,200,4,26.225387983813217,0.029154227682523903,4.694870357164373,0.03,0.03,1.0,0.6537406342302285,0.13883889863412235,0.1385249692174093,0.0,0,8.799524997549213e-11
RPS,tabular,200,5,24.33885031448865,0.034317397251422195,3.8174519415918025,0.03,0.03,1.0,0.6545595348255844,0.11260189010181772,0.11238106907841483,0.0,0,8.972841913923446e-11
RPS,tabular,200,6,22.9338188621816,0.03848034797675646,3.076925230083813,0.03,0.03,1.0,0.6553448369176001,0.09049562634416732,0.0903517455002803,0.0,0,8.988527977482619e-11
RPS,tabular,200,7,21.894314820513745,0.04177361430786604,2.46238815351456,0.03,0.03,1.0,0.6560745598015285,0.07219342726187337,0.072106197826036,0.0,0,8.901432368979556e-11
RPS,tabular,200,8,21.13098429167937,0.04432535364177313,1.9599180023654204,0.03,0.03,1.0,0.6567343427741623,0.05727238337001626,0.057223001173327265,0.0,0,8.990495153904376e-11
RPS,tabular,200,9,20.57778305766156,0.046256585689408325,1.5539795597208257,0.03,0.03,1.0,0.65731603955304,0.045258548042515306,0.04523241738108813,0.0,0,8.914725208031271e-11
RPS,tabular,200,10,20.18581038260226,0.04767831580618199,1.2289706984808315,0.03,0.03,1.0,0.6578164172030776,0.03567575184249037,0.035662872648547006,0.0,0,8.929403050306206e-11
RPS,tabular,200,11,19.918174554016364,0.04869000741114708,0.9703943734992041,0.03,0.03,1.0,0.6582360071884766,0.028082089693830498,0.028076236344638322,0.0,0,8.892126618365026e-11
