environment,method,final_br_mean,final_br_sem,final_exploitability,final_field_norm
RPS,QP+G,-3.696311755010837e-06,5.746426643281379e-07,6.8805393836666105e-06,2.29905679885514e-06
RPS,noG,-0.3866079784173726,0.03907125914921643,0.7740696148806354,0.2976590566808554
RPS,GDA,-0.420814857585038,0.03914904616979088,0.6855655416046786,0.2684941454400522
RPS,Adam-GDA,-6.307873729990236,0.6451505962805256,12.625390374575952,3.3114151955915867
RPS,EGM,-0.30210365022399793,0.02848477601190287,0.49152436001060096,0.19294116595695335
RPS,PPM-3,-0.3018122136863029,0.028522861372909533,0.49274072492860227,0.19333348759045005
CyclicControl,QP+G,-0.2320019014833441,0.011782288234781002,0.4881516002343044,0.08309096692530768
CyclicControl,noG,-0.37126211961342914,0.02176221033672509,0.7594376932800903,0.13191672279564548
CyclicControl,GDA,-0.3556801709807016,0.029217486046728382,0.7742485555813398,0.13030370567058744
CyclicControl,Adam-GDA,-6.095085725293847,0.16713553279839785,12.202628037071019,1.5484368324104367
CyclicControl,EGM,-0.3507797177053242,0.028724539188952167,0.7637861979845131,0.12846307077845706
CyclicControl,PPM-3,-0.3507862602954595,0.028723770081191632,0.7638011798744818,0.12846556646764795
FrequencyHopping,QP+G,-0.37624321917427356,0.05971411919825981,2.0891314059249915,0.31454358517305137
FrequencyHopping,noG,-0.4276124962281472,0.07630010721141568,2.4612974495242077,0.36665844206042364
FrequencyHopping,GDA,-1.040020154827023,0.0423839275251461,2.612260086256115,0.3600475941501238
FrequencyHopping,Adam-GDA,-7.133551511214966,0.1660329993044175,11.363868740858678,1.0644480422441362
FrequencyHopping,EGM,-1.0346302678036818,0.04210537039774244,2.5979185122661024,0.35819686496636755
FrequencyHopping,PPM-3,-1.0345885611834342,0.042104999285796425,2.597933985181361,0.35819665640420156
