environment,method,seed_count,hard_br_return_mean,hard_br_return_sem,hard_exploitability_mean,hard_exploitability_sem,regularized_gap_mean,regularized_gap_sem,field_norm_mean,field_norm_sem
RPS,QP+G,10,-3.696311755010837e-06,5.746426643281379e-07,6.8805393836666105e-06,6.218197201077681e-07,2.779695917887179e-11,4.251311297188958e-12,2.29905679885514e-06,1.7439499664942342e-07
RPS,noG,10,-0.3866079784173726,0.03907125914921643,0.7740696148806354,0.051933915051306116,0.35735060936420104,0.04299103515761816,0.2976590566808554,0.022308577448566652
RPS,GDA,10,-0.420814857585038,0.03914904616979088,0.6855655416046786,0.05065936165735675,0.2920674647427638,0.03198089203598646,0.2684941454400522,0.02045921491185236
RPS,Adam-GDA,10,-6.307873729990236,0.6451505962805256,12.625390374575952,0.747331083353577,12.22501539635186,0.761659077353182,3.3114151955915867,0.45326370135824817
RPS,EGM,10,-0.30210365022399793,0.02848477601190287,0.49152436001060096,0.037043006021487045,0.16454422006060465,0.019285504812353742,0.19294116595695335,0.014730694851690004
RPS,PPM-3,10,-0.3018122136863029,0.028522861372909533,0.49274072492860227,0.03829001710279795,0.1651875791317663,0.019499096081595127,0.19333348759045005,0.014775332449174393
CyclicControl,QP+G,10,-0.2320019014833441,0.011782288234781002,0.4881516002343044,0.014537171439021323,0.15905450794175413,0.01082114152905159,0.08309096692530768,0.0032530320315029655
CyclicControl,noG,10,-0.37126211961342914,0.02176221033672509,0.7594376932800903,0.023075701107322193,0.3470125378362866,0.02115819593392698,0.13191672279564548,0.005461626653058634
CyclicControl,GDA,10,-0.3556801709807016,0.029217486046728382,0.7742485555813398,0.025496576566039934,0.35096860680223285,0.022820889060177613,0.13030370567058744,0.005254628007192578
CyclicControl,Adam-GDA,10,-6.095085725293847,0.16713553279839785,12.202628037071019,0.2499771707746532,11.78725985496977,0.25361062777132437,1.5484368324104367,0.05188656066212469
CyclicControl,EGM,10,-0.3507797177053242,0.028724539188952167,0.7637861979845131,0.025099832209079236,0.34298749474194123,0.022361708993432945,0.12846307077845706,0.005161655019814258
CyclicControl,PPM-3,10,-0.3507862602954595,0.028723770081191632,0.7638011798744818,0.02509884703352983,0.3430003843224522,0.022361953541501008,0.12846556646764795,0.005161686457191369
FrequencyHopping,QP+G,10,-0.37624321917427356,0.05971411919825981,2.0891314059249915,0.051586902702792474,1.5653942514332664,0.046356380252727425,0.31454358517305137,0.005763783408486983
FrequencyHopping,noG,10,-0.4276124962281472,0.07630010721141568,2.4612974495242077,0.058871718606513364,1.926067049323903,0.05418019975974478,0.36665844206042364,0.006424862458957525
FrequencyHopping,GDA,10,-1.040020154827023,0.0423839275251461,2.612260086256115,0.06596605571077052,2.012052791565454,0.05958821002817016,0.3600475941501238,0.006508883646850099
FrequencyHopping,Adam-GDA,10,-7.133551511214966,0.1660329993044175,11.363868740858678,0.21806374443910415,10.923202969953431,0.21703674833699457,1.0644480422441362,0.03285332235712728
FrequencyHopping,EGM,10,-1.0346302678036818,0.04210537039774244,2.5979185122661024,0.06556315002194434,1.998020414116747,0.059148331986360124,0.35819686496636755,0.006460485452746361
FrequencyHopping,PPM-3,10,-1.0345885611834342,0.042104999285796425,2.597933985181361,0.0655609925608634,1.99803542565594,0.059146911965388495,0.35819665640420156,0.006460312580661758
