environment,method,seed_count,hard_br_return_mean,hard_br_return_sem,hard_exploitability_mean,hard_exploitability_sem,regularized_gap_mean,regularized_gap_sem,field_norm_mean,field_norm_sem
CyclicControl,QP+G,10,-0.09394929982644992,0.008064692901518077,0.16722489624784936,0.01181214677342755,0.02101488481521167,0.0029389815880092934,0.01400610833042697,0.001108600448501364
CyclicControl,noG,10,-0.2995865943040372,0.05409499048750653,0.8019712159007503,0.0751731782919616,0.41319934113951307,0.057394996237303944,0.3548988020015028,0.030915921702856473
CyclicControl,GDA,10,-0.34398593244677095,0.051530981902877686,0.86678752594079,0.08388122011470277,0.4184407295736082,0.06572034231832946,0.32805133957300137,0.028709878036542315
CyclicControl,Adam-GDA,10,-9.917495158123291,0.04838366313413907,19.301512530322775,0.3783688151960697,19.26556626557288,0.3928228776395103,1.0274558431528837,0.516995432802684
CyclicControl,EGM,10,-0.2649707925761931,0.0379043610923012,0.665676009161184,0.0640690140799097,0.2694146336557858,0.04346429969173557,0.24861573352192864,0.022026411125844955
CyclicControl,PPM-3,10,-0.26418069840797986,0.0374207449874854,0.666450224813819,0.06406037431794369,0.2699629044099376,0.04362481042831537,0.24901575087997668,0.0220458766508865
FrequencyHopping,QP+G,10,-0.09527547347350943,0.01250606874771065,2.150153560495876,0.01982615620100187,1.7420903575292754,0.017121178816632013,0.2366736371227994,0.006139241450372023
FrequencyHopping,noG,10,-0.4157333965516606,0.07521632901153011,2.436753992200594,0.08665365136965608,1.9152571677287802,0.06515949179674493,0.4007099825297894,0.02360042865370696
FrequencyHopping,GDA,10,-0.4743481535128165,0.06129965817331542,2.5141209484067155,0.07195175487223997,1.9544930696478544,0.06350399608759957,0.47577648973066433,0.02392320291606935
FrequencyHopping,Adam-GDA,10,-10.642895784749,0.24044292338298015,17.598230492105028,0.28746069537724195,17.568785772328756,0.28983417605704276,1.6129375320436459,0.7410479189980275
FrequencyHopping,EGM,10,-0.43141280941854265,0.04593587448306452,2.4564614511491203,0.05522705888387454,1.9016174248048874,0.04725374180487329,0.42820546499660794,0.018254760751674766
FrequencyHopping,PPM-3,10,-0.4325747732718169,0.04566983288816884,2.4580269196174926,0.05507588706832528,1.9026724765454355,0.04713468029982454,0.42863495812849417,0.018300445054484183
RoutingInterdiction,QP+G,10,-1.073367716914652,0.00850059366956858,1.7963555478393605,0.010560084943140379,1.3905751194034814,0.006471839460081871,0.19427288726576936,0.006291752494749072
RoutingInterdiction,noG,10,-1.1917258218228053,0.03562883817241189,1.9347194034100859,0.045638448531497365,1.4676193309115575,0.032981698995385944,0.29416718619361143,0.017403622179955565
RoutingInterdiction,GDA,10,-1.3285375088587092,0.04230242356011696,2.0285159914391784,0.041655989469180914,1.4905609073403556,0.03316170900766745,0.33438762331702776,0.018861243887471638
RoutingInterdiction,Adam-GDA,10,-8.20117301348922,0.2859600912690926,12.257532326982991,0.302137475013408,12.214138819707708,0.319692177034909,1.8364972218663524,0.8833749038782355
RoutingInterdiction,EGM,10,-1.3098928898364008,0.03859777653138847,2.0110817424073812,0.03763287534872073,1.4747884250644998,0.02894520876177802,0.3183035930782839,0.01760715743507097
RoutingInterdiction,PPM-3,10,-1.3099389153518135,0.0386063934637096,2.011108918476003,0.0377258984520502,1.4749155461842123,0.029043205287431952,0.31844942754569505,0.017611876631848995
PursuitEvasion,QP+G,10,-0.28436021499698677,0.04484575298155568,0.6595050135006445,0.05003047957909006,0.2712818358434333,0.03251195332217413,0.050539651704545066,0.0021217060113797918
PursuitEvasion,noG,10,-0.31529217554459577,0.056940706656652386,0.7449362112651017,0.0602745926432978,0.34270082662389695,0.04204029226770853,0.06127611950610847,0.0029441760323175034
PursuitEvasion,GDA,10,-0.3057218026699663,0.056332221496903555,0.7463915665951453,0.06001220031915194,0.3414338006207044,0.042324065485962875,0.06079477692738119,0.0031581737318333394
PursuitEvasion,Adam-GDA,10,-8.846373986710692,0.24549700972644145,17.429526937547354,0.43293535872551825,17.289616698990706,0.4533388442750716,3.8733361227640266,1.2033097453725612
PursuitEvasion,EGM,10,-0.3047279936463953,0.05594485772461822,0.7432627292012209,0.0596189009209276,0.3388428248759432,0.041964827539135954,0.060424195692557046,0.003125930253221451
PursuitEvasion,PPM-3,10,-0.3047592068343226,0.05595211009962293,0.7433105156741868,0.05962383710259698,0.3388777492337226,0.04196920432880335,0.06042763766988457,0.0031263346885895254
SecurityPatrol,QP+G,10,-0.3289059091809926,0.006739370088996494,1.1427102585344278,0.011629921559047017,0.7758123496962208,0.00859974408682398,0.12469517137857558,0.002755008023000564
SecurityPatrol,noG,10,-0.47169244581199327,0.04227980573357307,1.357367034772362,0.03516896769403941,0.9120351995015474,0.025056180801111955,0.27257933871370044,0.021973091842143248
SecurityPatrol,GDA,10,-0.5370733704520616,0.04537402031057471,1.386331138152165,0.05302426184086012,0.9067083218422161,0.03106081663700493,0.268326886323454,0.019081802115392132
SecurityPatrol,Adam-GDA,10,-5.149352728382676,0.045170473682809624,12.450023008126553,0.3124791211959937,12.420673276715943,0.32626592784370745,1.3458591918305416,0.6925987166921396
SecurityPatrol,EGM,10,-0.5007853585139943,0.03913511591543844,1.3437895235302582,0.04669486654306735,0.8749755794797947,0.025792369250759502,0.2396699137408317,0.015907189519331382
SecurityPatrol,PPM-3,10,-0.5010734404038436,0.03915005388528276,1.3442713023734032,0.04676942723371858,0.8751968771661829,0.02582890392295442,0.2398940226545725,0.015938408364530747
