environment,mode,seed,method,step,current_return,hard_br_return,hard_exploitability,regularized_gap,field_norm,hard_br_residual,hard_br_iterations,soft_br_residual,soft_br_iterations
CyclicControl,neural,40,QP+G,0,-0.04088501394024287,-0.6785245803877038,1.0524587160640213,0.5913720828524114,0.4422803856547468,8.737455203799982e-13,238,8.539108309335575e-11,189
CyclicControl,neural,40,QP+G,5,-0.007162361445014174,-0.20921986530853443,0.4349217895404929,0.13866178808911783,0.18652218966200848,8.333334022836425e-13,228,8.726801226099923e-11,175
CyclicControl,neural,40,QP+G,10,-0.0009677315605784757,-0.06645757911655448,0.20168054655818593,0.042670460143148764,0.08191653806198212,8.455736111301349e-13,223,8.427424730284017e-11,166
CyclicControl,neural,40,QP+G,15,-0.0002073037237666281,-0.07312476182416108,0.1598605985794641,0.02226960647836193,0.037887649090654875,8.266443085602759e-13,219,8.879824479890441e-11,158
CyclicControl,neural,40,QP+G,20,-0.0001546867634420867,-0.07391678081973453,0.15469254072881283,0.017795991532529032,0.020470823904565574,8.553990848980675e-13,218,8.605957266261122e-11,155
CyclicControl,neural,40,QP+G,25,-0.00013977191567300944,-0.07427710353518305,0.1560501362180345,0.01677278762377306,0.014759019239936187,8.659878369954299e-13,218,8.666612046070998e-11,154
CyclicControl,neural,40,QP+G,30,-0.00013501427329708134,-0.07448806267344395,0.15658080377392647,0.016502202375694917,0.013324782281847351,8.693740172205366e-13,218,8.442866891722467e-11,154
CyclicControl,neural,40,QP+G,35,-0.00013348247716186344,-0.07457193723106352,0.15671356039772077,0.016401291772835884,0.013007262621788465,8.699013731572336e-13,218,8.369385913475913e-11,154
CyclicControl,neural,40,QP+G,40,-0.0001327922740111009,-0.07457209911682924,0.15666166687321126,0.016342192574048182,0.01292861535752203,8.693601394327288e-13,218,8.333420759010224e-11,154
CyclicControl,neural,40,QP+G,45,-0.00013229856940115376,-0.07452280216537725,0.15652507744738575,0.01629488681649198,0.012897988581144172,8.684303276496053e-13,218,8.308567202297557e-11,154
CyclicControl,neural,40,QP+G,50,-0.00013184729783391501,-0.07444606659879424,0.15634973758934373,0.016251448518279477,0.012876825818729185,8.673894935640192e-13,218,8.287633773695902e-11,154
CyclicControl,neural,40,QP+G,55,-0.00013140512197593458,-0.074354758660662,0.15615669154841688,0.016209467328932897,0.01285750496029942,8.663070261150096e-13,218,8.268270096367658e-11,154
CyclicControl,neural,40,QP+G,60,-0.00013096561515951564,-0.07425598161556517,0.1559556089581508,0.01616811524408328,0.012838547745696647,8.652245586660001e-13,218,8.249591114395383e-11,154
CyclicControl,neural,40,noG,0,-0.04088501394024287,-0.6785245803877038,1.0524587160640213,0.5913720828524114,0.4422803856547468,8.737455203799982e-13,238,8.539108309335575e-11,189
CyclicControl,neural,40,noG,5,-0.035667427267309745,-0.45695559646962086,0.9283789901290467,0.5038088246796015,0.43533135265670914,8.325562461664049e-13,235,8.609446489060701e-11,187
CyclicControl,neural,40,noG,10,-0.015385647254522582,-0.19219786482824436,0.7270000632875695,0.40601454672090775,0.4243710135885806,8.499867476530198e-13,236,8.242734272911889e-11,189
CyclicControl,neural,40,noG,15,0.003312395162039363,-0.08941509570459882,0.6345840809696978,0.38610587641611654,0.4148013574168508,8.665290707199347e-13,236,8.430395270764279e-11,189
CyclicControl,neural,40,noG,20,0.004170789469459545,-0.09632872700603086,0.6410682435134757,0.38648865799253435,0.4142344034515046,8.657519146026971e-13,236,8.420020236599157e-11,189
CyclicControl,neural,40,noG,25,0.004188711551507285,-0.0964732494251392,0.6412028065590174,0.3864977011614916,0.4142223447856413,8.658629369051596e-13,236,8.419781538648863e-11,189
CyclicControl,neural,40,noG,30,0.004189087413072582,-0.09647628042962758,0.6412056282581613,0.3864978912733547,0.4142220917937248,8.657519146026971e-13,236,8.419781538648863e-11,189
CyclicControl,neural,40,noG,35,0.004189095296366115,-0.09647634400173513,0.6412056874401209,0.3864978952609495,0.41422208648744735,8.657519146026971e-13,236,8.41977598753374e-11,189
CyclicControl,neural,40,noG,40,0.004189095461709446,-0.09647634533508964,0.6412056886813968,0.3864978953445848,0.4142220863761536,8.657519146026971e-13,236,8.419770436418617e-11,189
CyclicControl,neural,40,noG,45,0.0041890954651855015,-0.09647634536312132,0.641205688707493,0.38649789534634277,0.414222086373814,8.657519146026971e-13,236,8.41977598753374e-11,189
CyclicControl,neural,40,noG,50,0.004189095465255565,-0.0964763453636861,0.6412056887080191,0.3864978953463796,0.41422208637376706,8.658629369051596e-13,236,8.419770436418617e-11,189
CyclicControl,neural,40,noG,55,0.004189095465266185,-0.09647634536377173,0.6412056887080987,0.386497895346383,0.41422208637376,8.657519146026971e-13,236,8.41977598753374e-11,189
CyclicControl,neural,40,noG,60,0.004189095465266185,-0.09647634536377173,0.6412056887080987,0.386497895346383,0.41422208637376,8.657519146026971e-13,236,8.41977598753374e-11,189
CyclicControl,neural,40,GDA,0,-0.04088501394024287,-0.6785245803877038,1.0524587160640213,0.5913720828524114,0.4422803856547468,8.737455203799982e-13,238,8.539108309335575e-11,189
CyclicControl,neural,40,GDA,5,-0.035667427267309745,-0.45695559646962086,0.9283789901290467,0.5038088246796015,0.43533135265670914,8.325562461664049e-13,235,8.609446489060701e-11,187
CyclicControl,neural,40,GDA,10,-0.015385647254522582,-0.19219786482824436,0.7270000632875695,0.40601454672090775,0.4243710135885806,8.499867476530198e-13,236,8.242734272911889e-11,189
CyclicControl,neural,40,GDA,15,0.010116630389698195,-0.14457839045062398,0.6863841178440342,0.3942999869835249,0.4118138261349555,8.610889778992714e-13,236,8.349421154463244e-11,189
CyclicControl,neural,40,GDA,20,0.02989478473494059,-0.3664520002205705,0.8593365556194095,0.45770484521177335,0.40117549475315045,8.704148513061227e-13,235,8.981942967167811e-11,187
CyclicControl,neural,40,GDA,25,0.03659082221220076,-0.5494916493153537,0.9460867520491957,0.505732593145393,0.39435132678768897,8.734124534726107e-13,236,8.422451625023086e-11,186
CyclicControl,neural,40,GDA,30,0.028656625326299298,-0.6733000275864728,0.9394205933425213,0.4991064273301488,0.3908479667262937,8.668621376273222e-13,238,8.551331864836698e-11,189
CyclicControl,neural,40,GDA,35,0.009950805898287653,-0.7311314752153536,0.8478594428553377,0.4579054194578922,0.38899478178639035,8.471001677889944e-13,239,8.76094752300105e-11,190
